COMMANDO;;;;;;;;;r;;;;
CONTENT MANAGEMENT SYSTEM;;;Jenis Konten;Kategori dalam Agset BUMN;Jenis Media Plan;Aktualisasi;Media;Jenis Konten;;;Creator;Review;Process
335;01 Agustus 2025;"Hari Ulang Tahun PT ASABRI (Persero)
Melayani Bangsa Mewujudkan Kesejahteraan";Hari Penting;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Selama 54 tahun, ASABRI hadir bukan hanya sebagai pengelola asuransi sosial,
tetapi sebagai penjaga harapan bagi para penjaga negeri.
Kami mengabdi dengan satu semangat bersama.

Mari terus melangkah bersama.
Untuk negeri, untuk pejuangnya, dan untuk generasi masa depan.

54 Tahun ASABRI
Melayani Bangsa - Mewujudkan Kesejahteraan.

#HUTke54ASABRI
#ASABRIMelayaniBangsa
#ASABRIMewujudkanKesejahteraan
#ASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa";https://www.instagram.com/p/DMyw7i71CTw/;;Approve Sesper;
336;01 Agustus 2025;Namanya juga ulang tahun, kasih hadiah dong...;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Sebagai wujud penerapan prinsip-prinsip Tata Kelola Perusahaan yang Baik, ISO 37001:2016 Sistem Manajemen Anti Penyuapan, serta prinsip persaingan usaha yang sehat, seluruh Insan ASABRI berkomitmen untuk bekerja dengan profesional tanpa gratifikasi.

ASABRI menolak pemberian gratifikasi baik langsung maupun tidak langsung dalam memperingati HUT PT ASABRI (Persero). Dukung ASABRI menjaga integritas dengan tidak memberikan gratifikasi.

#HUTke54ASABRI
#ASABRIMelayaniBangsa
#ASABRIMewujudkanKesejahteraan
#ASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#LiterasiGratifikasi
#BanggaBerintegritas";https://www.instagram.com/p/DMy32E-MinI;;Approve Sesper;
337;04 Agustus 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Video;"Halo #Sobat ASABRI

Dengan semangat juang yang tak pernah padam, Insan ASABRI terus hadir melayani bangsa, mewujudkan kesejahteraan bagi mereka yang menjaga Tanah Air.

Semangat Senin, Insan ASABRI!

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DM6kvCDyOis/;;Approve Sesper;
338;04 Agustus 2025;"54 Tahun ASABRI terus melaju,
bukan demi angka, tetapi demi Peserta,
demi keluarga para patriot bangsa, dan demi rakyat Indonesia.";Campaign ASABRI;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

dari masa ke masa, ASABRI terus melaju, 
bukan demi angka, tetapi demi Peserta, 
demi keluarga para patriot bangsa, dan demi rakyat Indonesia.

54 tahun telah berlalu. Semangat itu terus digelorakan. 

ASABRI akan terus berdiri teguh untuk Indonesia,
melayani bangsa, mewujudkan kesejahteraan.

Inilah mula  perjalanan kami untuk mensyukuri dan melangkah lebih maju, untuk masa depan ASABRI

#HUTke54ASABRI 
#ASABRIMelayaniBangsa 
#ASABRIMewujudkanKesejahteraan 
#ASABRIUntukIndonesia 
#SahabatPerjuanganAndaSepanjangMasa";https://www.instagram.com/p/DM6y2mcyvao/;;Approve Sesper;
339;04 Agustus 2025;"54 tahun, ASABRI terus melangkah.
Tak sekadar layanan, ini bentuk penghormatan.";Campaign ASABRI;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

54 tahun, ASABRI terus melangkah.
Tak sekadar layanan, ini bentuk penghormatan. 
Menjawab pengabdian dengan kepastian, menjaga ketenangan mereka yang ditinggalkan.

Melayani Bangsa Mewujudkan Kesejahteraan. 
Kami terus berkomitmen melayani dengan hati menjaga yang telah menjaga negeri.

#HUTke54ASABRI 
#ASABRIMelayaniBangsa 
#ASABRIMewujudkanKesejahteraan 
#ASABRIUntukIndonesia 
#SahabatPerjuanganAndaSepanjangMasa";https://www.instagram.com/p/DM7EqSeScce/;;Approve Sesper;
340;07 Agustus 2025;BERSERI: Beasiswa Anak dalam program Jaminan Kecelakaan Kerja (JKK) dan Jaminan Kematian (JKm);Berseri;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

Sekarang memasuki waktunya BERSERI nih.. #BertanyaSeputarASABRI ??

Kali ini kita akan memberikan informasi terkait Beasiswa Anak dalam program Jaminan Kecelakaan Kerja (JKK) dan Jaminan Kematian (JKm) ya Sobat.

Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya…

Untuk informasi lebih lanjut, #SobatASABRI dapat mengunjungi Website ASABRI www.asabri.co.id atau Kantor Cabang ASABRI atau ASABRIlink sesuai wilayah masing-masing ya Sobat…

#BertanyaSeputarASABRI
#BeasiswaAnak
#ASABRIMelayaniBangsa
#ASABRIMewujudkanKesejahteraan
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DNCRlNeSggC/;;Approve Sesper;
341;08 Agustus 2025;"ASABRI
Melayani Bangsa, Mewujudkan Kesejahteraan
Hadir Menguatkan Harapan di Ujung Timur Indonesia";Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

ASABRI senantiasa menjadi sahabat perjuangan bagi Prajurit TNI, Anggota Polri, dan ASN Kementerian Pertahanan serta Polri yang gugur di medan tugas, berjuang hingga titik darah penghabisan demi merah putih. Kami tak bisa menghapus duka, tapi kami berkomitmen memberikan perlindungan, manfaat, dan penghargaan yang layak bagi para pahlawan yang gugur, serta keluarganya yang menjadi bagian dari keluarga besar ASABRI.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DNEu_izt4P5/;;Approve Sesper;
342;11 Agustus 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Video;"Halo #Sobat ASABRI

Semangat baru, langkah pasti!
Senin adalah awal untuk kembali mengabdi dengan hati. Insan ASABRI hadir melayani peserta dari ujung barat hingga timur negeri, menguatkan kesejahteraan dan menjaga harapan.

Semangat Senin, Insan ASABRI!

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#ASABRIMelayaniBangsa
#ASABRIMewujudkanKesejahteraan
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DNNM452S8i2/;;Approve Sesper;
343;12 Agustus 2025;"54 Tahun ASABRI
Melayani Bangsa
Mewujudkan Kesejahteraan";Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

54 tahun bukan hanya tentang lamanya waktu, tetapi tentang makna dari setiap layanan yang diberikan kepada peserta. Setiap manfaat yang diterima, setiap layanan di kantor cabang, hingga setiap penggunaan aplikasi digital ASABRI adalah cerminan komitmen yang tak pernah padam.

Dengan semangat ""Melayani Bangsa, Mewujudkan Kesejahteraan"", ASABRI siap melangkah ke masa depan. Sebuah masa depan yang lebih inklusif, digital, dan berdampak.

#ASABRIMelayaniBangsa
#ASABRIMewujudkanKesejahteraan
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#HUT80RI #BersatuBerdaulat
#RakyatSejahtera #IndonesiaMaju
#MajuDariAku";https://www.instagram.com/p/DNPHAkKyMah/;;Approve Sesper;
344;15 Agustus 2025;Pemberitahuan Layanan Kantor Cabang TUTUP, sehubungan dengan Cuti Bersama HUT ke-80 RI Tahun 2025;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Sehubungan dengan Cuti Bersama HUT ke-80 RI Tahun 2025, Layanan Kantor Cabang ASABRI TUTUP pada tanggal 18 Agustus 2025.

Layanan dan Operasional akan Buka Kembali pada tanggal 19 Agustus 2025.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
#HUT80RI #BersatuBerdaulat
#RakyatSejahtera #IndonesiaMaju";https://www.instagram.com/p/DNXxxl9usUg/;;Approve Sesper;
345;17 Agustus 2025;Dirgahayu Republik Indonesia;Hari Besar Nasional;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

Merdeka!!

80 tahun lalu, dari  proklamasi lahirlah negeri yang kita sebut rumah.
Negeri Kita, Indonesia. 
Dari tetes keringat pejuang, kita belajar arti bersatu.
Dari perjalanan panjang, kita pahami arti berdaulat.
Kini, di usia ke-80, semangat kemerdekaan terus bergelora —
agar rakyat sejahtera, agar Indonesia semakin maju.
???? Selamat HUT ke-80 Republik Indonesia!

#HUT80RI #BersatuBerdaulat
#RakyatSejahtera #IndonesiaMaju
#MerdekaDariAku
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DNb4QrEq6zT/;;Approve Sesper;
346;17 Agustus 2025;Dirgahayu Republik Indonesia;Hari Besar Nasional;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

Merdeka!! ???? 

17 Agustus 1945—suara lantang kemerdekaan menggema.
Bangsa ini berjanji untuk menjaga tanah air,
menjunjung persatuan, dan meraih masa depan.
80 tahun kemudian, janji itu masih kita rawat.
Dari desa hingga kota, dari laut hingga udara,
semangat itu tetap semangat:
Bersatu. Berdaulat. Rakyat Sejahtera. Indonesia Maju.

#HUT80RI #BersatuBerdaulat
#RakyatSejahtera #IndonesiaMaju
#MerdekaDariAku
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DNb9knKSNbd/;;Approve Sesper;
347;17 Agustus 2025;"Merayakan Kemerdekaan
Bersatu Berdaulat, Rakyat Sejahtera,  Indonesia Maju!";Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Indonesia Maju, dimulai dari Kita
Hari ini bukan hanya perayaan, tapi janji.
Bahwa semangat merdeka akan terus kita hidupkan,
bahwa Indonesia Maju lahir dari langkah kecil kita yang berdampak untuk generasi masa depan

Selamat HUT ke-80 Republik Indonesia!
???? Bersatu Berdaulat, Rakyat Sejahtera, Indonesia Maju!

#HUT80RI #BersatuBerdaulat
#RakyatSejahtera #IndonesiaMaju
#MerdekaDariAku
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DNcpbhvS9u1/;;Approve Sesper;
348;17 Agustus 2025;Kemerdekaan adalah warisan, perjuangan adalah kewajiban.;Campaign ASABRI;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

Merdeka!! ????

Kemerdekaan adalah warisan, perjuangan adalah kewajiban. Mari lanjutkan dengan semangat pantang menyerah. Dirgahayu Indonesia.

#HUT80RI #BersatuBerdaulat
#RakyatSejahtera #IndonesiaMaju
#MerdekaDariAku
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DNctcV5StGt/;;Approve Sesper;
349;20 Agustus 2025;SEGARA;TJSL;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

Laut bukan sekadar hamparan biru.
Ia adalah nadi kehidupan.
Rumah bagi jutaan biota, benteng alami bagi pesisir,
dan sumber penghidupan bagi jutaan nelayan Nusantara.

Menjaga laut, berarti menjaga keseimbangan bumi.
Menjaga laut, berarti menjaga masa depan bangsa.

Dengan semangat itu, PT ASABRI (Persero) bersama dengan TNI Angkatan Laut melalui LANAL Denpasar,
menghadirkan SEGARA:
Aksi ASABRI Lestarikan dan Jaga Terumbu Karang.

Selangkapnya, mari saksikan video berikut.

#TJSLASABRI
#SEGARAASABRI
#HUT80RI #BersatuBerdaulat
#RakyatSejahtera #IndonesiaMaju
#MerdekaDariAku
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DNkc-_ESDCw/;;Approve Sesper;
350;22 Agustus 2025;SEGARA, Aksi ASABRI Lestarikan dan Jaga Terumbu Karang;TJSL;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI 

ASABRI untuk Lingkungan dan Masyarakat.

ASABRI percaya, kepedulian lingkungan tidak bisa dipisahkan dari kepedulian sosial. Melalui penanaman terumbu karang, kami ikut menjaga ekosistem laut agar tetap lestari, indah, dan menjadi rumah bagi jutaan biota laut. Sebagai BUMN yang lahir dari semangat perjuangan bangsa, ASABRI berkomitmen untuk memastikan bahwa laut Indonesia tetap lestari, demi kesejahteraan rakyat dan masa depan bumi.
Karena laut yang sehat, adalah warisan berharga bagi generasi mendatang.

ASABRI, Sahabat Perjuangan Anda Sepanjang Masa!

#ProgramTJSLASABRI #SEGARAAksiASABRILestarikandanJagaTerumbuKarang
#HUT80RI #BersatuBerdaulat
#RakyatSejahtera #IndonesiaMaju #MerdekaDariAku
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia #BUMNuntukIndonesia";https://www.instagram.com/p/DNp7pcKB5hd/;;Approve Sesper;
351;25 Agustus 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

Usia Hanyalah Angka, Semangat tetap membara. ASABRI Sahabat Perjuangan Anda Sepanjang Masa setia melayani sepenuh hati.

Semangat Senin, Insan ASABRI!

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DNwjrGbwmHh/;;Approve Sesper;
352;26 Agustus 2025;Setetes Darah Sejuta Harapan;TJSL;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

80 tahun Indonesia merdeka adalah amanah untuk terus menjaga kehidupan. Jika dulu kemerdekaan diperjuangkan dengan tumpahnya darah para pahlawan, maka hari ini kita merawatnya dengan setetes darah penuh keikhlasan. Melalui aksi donor darah bersama PMI, ASABRI yang genap berusia 54 tahun ingin menyalakan kembali semangat kemerdekaan agar tetap mengalir dalam denyut bangsa. ??

ASABRI bukan sekadar pengelola asuransi sosial, melainkan Sahabat Perjuangan Sepanjang Masa. Di usia ke-54, kami meneguhkan komitmen: menjaga nyawa, memperkuat solidaritas, dan melayani bangsa demi satu tekad bersama—Bersatu, Berdaulat, Rakyat Sejahtera, Indonesia Maju. ????

#ProgramTJSLASABRI
#ASABRIPeduliDonorDarah
#HUTke80RI #BersatuBerdaulat
#RakyatSejahtera #IndonesiaMaju
#MerdekaDariAku
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DNzNF6DQnfA/;;Approve Sesper;
353;26 Agustus 2025;Mewujudkan Asta Cita, Mewujudkan Generasi Emas;TJSL;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI 
Di momen istimewa Kemerdekaan RI ke-80 dan HUT ke-54 ASABRI, kami hadir dengan langkah bermakna bagi masa depan pendidikan Indonesia.

Melalui Program GENERASI (Gerakan Apresiasi bagi Putra-Putri Peserta ASABRI), ASABRI memberikan apresiasi kepada mahasiswa berprestasi dari keluarga besar TNI–Polri.
Karena kami percaya, merdeka sejati adalah saat anak bangsa bebas bermimpi, berprestasi, dan membawa cahaya untuk negeri. ?

#ProgramTJSLASABRI 
#GENERASIuntukIndonesia
#HUT80RI 
#BersatuBerdaulat
#RakyatSejahtera 
#IndonesiaMaju 
#MajuDariAku
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.instagram.com/p/DNz-eaKwkgO;;Approve Sesper;
354;01 September 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Mari saling menjaga, saling menguatkan, dan terus semangat melayani bangsa. Karena setiap langkah kecil kita berarti untuk Indonesia.

Semangat Senin!

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DOCqzkLAUSJ/;;Approve Sesper;
355;02 September 2025;Sekarang Waktunya Autentifikasi Melalui Aplikasi STAR;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Untuk keamanan Gaji Pensiun, pastikan Sobat ASABRI telah melakukan Autentikasi digital di ASABRI STAR mulai tanggal 1 sampai dengan tanggal 10 setiap bulannya.

Apabila terdapat kendala atau membutuhkan informasi lebih lanjut, silakan Sobat ASABRI dapat mengunjungi Kantor Cabang ASABRI, Mitra Bayar ASABRI atau menghubungi Call Center 1500043.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa

#DenganASABRISTARGajiPensiunAman
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DOFQqQ0gZ_6/;;Approve Sesper;
356;04 September 2025;Selamat Hari Pelanggan Nasional;Hari Penting;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI 

Selamat Hari Pelanggan Nasional
4 September 2025

Dengan semangat #ThinkCustomer, ASABRI berkomitmen untuk selalu mendengar lebih dalam, memahami lebih dekat, dan melayani lebih tulus.

Karena setiap senyum peserta adalah energi yang menguatkan ASABRI untuk terus berinovasi dan menjaga kepercayaan.

#HariPelangganNasional
#ThinkCustomer
#HarPelNas2025  #SahabatPerjuanganAndaSepanjangMasa #ASABRIuntukIndonesia";https://www.instagram.com/p/DOKi5IYgTBJ/;;Approve Sesper;
357;04 September 2025;Setiap Pelanggan Adalah Alasan Hadirnya Sebuah Layanan;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI 

Hari ini 4 September 2025, kita bersama merayakan Hari Pelanggan Nasional 2025.

Bagi ASABRI, peserta bukan sekadar penerima layanan, mereka adalah wajah pengabdian, penjaga bangsa, dan alasan kami hadir.

Selamat Hari Pelanggan Nasional 2025
#ThinkCustomer, Melayani Sepenuh Hati
ASABRI untuk Peserta, ASABRI untuk Indonesia.

#HariPelangganNasional
#ThinkCustomer
#HarPelNas2025  #SahabatPerjuanganAndaSepanjangMasa #ASABRIuntukIndonesia";https://www.instagram.com/p/DOKpA4lAScJ/;;Approve Sesper;
358;04 September 2025;Kolaborasi Untuk Layanan Bermakna;Campaign Bersama BUMN;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI 

Awal September 2025 menjadi salah satu langkah nyata bahwa PT ASABRI (Persero) tidak pernah berhenti menghadirkan layanan sepenuh hati bagi para peserta.

Melalui kolaborasi bersama PT Pos Indonesia (Persero), PT Taspen (Persero), dan Perum Bulog, ASABRI melalui Kantor Cabang ASABRI Medan memastikan pembayaran pensiun berjalan lancar, tepat waktu, serta memberi nilai tambah bagi peserta melalui pemeriksaan kesehatan, pemeriksaan mata, hingga pembagian beras.

Bagi ASABRI, masa pensiun bukanlah akhir perjalanan, melainkan babak baru yang harus dijalani dengan tenang dan bermartabat. Itulah sebabnya ASABRI berkomitmen untuk hadir, menemani, dan menguatkan.

Karena ASABRI bukan hanya penyedia layanan pensiun— ASABRI adalah Sahabat Perjuangan Anda Sepanjang Masa.

#LayananPensiunASABRI 
#LayananPelangganASABRI
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia";https://www.instagram.com/p/DOLWbwBgThq/;;Approve Sesper;
359;04 September 2025;Pemberitahuan Layanan Kantor Cabang TUTUP, sehubungan dengan Libur Nasional Hari Maulid Nabi Muhammad SAW;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Sehubungan dengan Libur Nasional Hari Maulid Nabi Muhammad SAW, Layanan Kantor Cabang ASABRI TUTUP pada tanggal 5 September 2025.

Layanan dan Operasional akan Melayani Kembali pada tanggal 8 September 2025.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DOLexWOgZYd/;;Approve Sesper;
360;05 September 2025;Selamat Memperingati Maulid Nabi Muhammad SAW.;Hari Besar Nasional;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Dewan Komisaris, Direksi, dan Karyawan 
PT ASABRI (Persero) mengucapkan, selamat memperingati Maulid Nabi Muhammad SAW, 12 Rabiul Awal 1447 H.

Semoga kita menjadi Insan yang senantiasa mengikuti sunah Rasululloh SAW, serta mendapatkan syafaat di akhir kelak.

#MaulidNabiMuhammadSAW
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DOMua5SieBA/;;Approve Sesper;
361;08 September 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Insan ASABRI akan terus hadir dengan pelayanan terbaik, untuk para pejuang yang senantiasa berdiri di garis terdepan demi Indonesia.

Semangat Senin, Insan ASABRI!

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DOUwzKzgcNp/;;Approve Sesper;
362;10 September 2025;Dirgahayu TNI angkatan Laut;Hari Penting;;;Realisasi;Instagram;Infografis;"Dewan Komisaris, Direksi, dan Karyawan PT ASABRI (Persero) mengucapkan

Dirgahayu ke-80 TNI Angkatan Laut
10 September 2025

Dengan Semangat Jalesveva Jayamahe, TNI Angkatan Laut Siap Mengantarkan Rakyat Sejahtera, Bersatu Berdaulat Menuju Indonesia Maju.

#HUTTNIALke80
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DOZx_eiAa4u/;;Approve Sesper;
363;11 September 2025;Menyapa Lebih Dekat, Melayani Sepenuh Hati;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"#HaloSobatASABRI

Di setiap wajah peserta, tersimpan kisah perjuangan yang tak lekang oleh waktu.

Hari Pelanggan 2025 menjadi momentum bagi ASABRI untuk hadir lebih dekat. Bukan hanya sebagai lembaga, tapi sebagai sahabat yang mendengar, memahami, dan melayani dengan sepenuh hati.

Di Kantor Cabang Utama ASABRI Jakarta, Serma (Purn) Waridjo dan Ibu Netty Sulasiah hadir. Keduanya adalah simbol ketulusan pengabdian dan semangat untuk tetap terhubung dengan ASABRI. Dalam setiap pelayanan, ada penghormatan atas jasa yang telah mereka ukir untuk negeri.

Tak hanya itu, digitalisasi layanan melalui ASABRI STAR menghadirkan akses yang lebih mudah dan aman. Rekam wajah, autentikasi digital, hingga aplikasi mobile menjadi bukti bahwa ASABRI terus bertransformasi demi memudahkan peserta.

#ASABRISTARuntukKemudahanPesertaASABRI
#DigitalisasiASABRI
#AksesyangMudah
#HariPelangganASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DOdqSH6AS1L/;;Approve Sesper;
